Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
CNOT7	ENST00000361272.4	CCR4-NOT transcription complex, subunit 7 	415	1	1	0	0	1	0	1	0	0	hsa-miR-335-5p	-0.40	-0.61	N/A	
RNF141	ENST00000265981.2	ring finger protein 141 	345	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.40	-0.43	N/A	2007, 2009, 2011
CALU	ENST00000535011.2	calumenin 	3079	1	1	0	0	2	0	0	2	0	hsa-miR-335-5p	-0.39	-0.43	N/A	2007, 2009, 2011
SMARCA2	ENST00000349721.2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 	158	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.39	-0.39	N/A	2009, 2011
MED6	ENST00000440435.2	mediator complex subunit 6 	776	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.38	-0.38	N/A	2009, 2011
PAQR8	ENST00000442253.2	progestin and adipoQ receptor family member VIII 	484	1	1	0	0	1	0	1	0	1	hsa-miR-335-5p	-0.37	-0.41	N/A	
HELLS	ENST00000394036.1	helicase, lymphoid-specific 	329	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.37	-0.37	N/A	
GDE1	ENST00000353258.3	glycerophosphodiester phosphodiesterase 1 	2741	1	1	0	0	1	0	0	1	0	hsa-miR-335-5p	-0.37	-0.38	N/A	2011
APTX	ENST00000436040.2	aprataxin 	310	1	1	0	0	1	0	0	1	1	hsa-miR-335-5p	-0.35	-0.36	N/A	
SPTSSA	ENST00000298130.4	serine palmitoyltransferase, small subunit A 	27	2	0	1	1	1	0	0	1	0	hsa-miR-335-5p	-0.35	-0.49	N/A	2009, 2011
ERI2	ENST00000569729.1	ERI1 exoribonuclease family member 2 	96	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.34	-0.34	N/A	
NXPH2	ENST00000272641.3	neurexophilin 2 	82	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.33	-0.35	N/A	2011
ACRV1	ENST00000533904.1	acrosomal vesicle protein 1 	5	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.32	-0.32	N/A	
UBE2G1	ENST00000396981.2	ubiquitin-conjugating enzyme E2G 1 	5620	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.32	-0.32	N/A	2007, 2009, 2011
GLYR1	ENST00000436648.5	glyoxylate reductase 1 homolog (Arabidopsis) 	31	2	2	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.32	-0.32	N/A	2007, 2009, 2011
KDSR	ENST00000406396.3	3-ketodihydrosphingosine reductase 	322	2	2	0	0	1	0	1	0	1	hsa-miR-335-5p	-0.31	-0.63	N/A	
SORCS1	ENST00000369698.1	sortilin-related VPS10 domain containing receptor 1 	88	2	0	2	0	0	0	0	0	0	hsa-miR-335-5p	-0.31	-0.40	N/A	2007, 2009, 2011
ZNF621	ENST00000339296.5	zinc finger protein 621 	39	1	1	0	0	1	0	1	0	4	hsa-miR-335-5p	-0.31	-0.32	N/A	2009, 2011
PRKAA2	ENST00000371244.4	protein kinase, AMP-activated, alpha 2 catalytic subunit 	561	1	1	0	0	2	1	0	1	0	hsa-miR-335-5p	-0.31	-0.35	N/A	2009, 2011
KCNJ6	ENST00000609713.1	potassium inwardly-rectifying channel, subfamily J, member 6 	5	1	1	0	0	3	0	3	0	5	hsa-miR-335-5p	-0.31	-0.31	N/A	
GJA5	ENST00000271348.2	gap junction protein, alpha 5, 40kDa 	5	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.31	-0.31	N/A	2011
SREK1IP1	ENST00000513458.4	SREK1-interacting protein 1 	145	1	1	0	0	1	0	0	1	0	hsa-miR-335-5p	-0.31	-0.41	N/A	2007, 2009, 2011
SEPHS1	ENST00000545675.1	selenophosphate synthetase 1 	281	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.31	-0.34	N/A	2011
KLHL15	ENST00000328046.8	kelch-like family member 15 	42	1	1	0	0	1	0	0	1	1	hsa-miR-335-5p	-0.30	-0.30	N/A	2011
POU2F3	ENST00000260264.4	POU class 2 homeobox 3 	5	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.30	-0.30	N/A	2009, 2011
SUCNR1	ENST00000362032.5	succinate receptor 1 	5	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.29	-0.29	N/A	
KDM4C	ENST00000381309.3	lysine (K)-specific demethylase 4C 	160	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.29	-0.29	N/A	2011
ARPC5L	ENST00000353214.2	actin related protein 2/3 complex, subunit 5-like 	851	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.28	-0.29	N/A	2007
CLOCK	ENST00000309964.4	clock circadian regulator 	86	1	0	1	0	1	0	0	1	3	hsa-miR-335-5p	-0.28	-0.29	N/A	
DCAF10	ENST00000242323.7	DDB1 and CUL4 associated factor 10 	433	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.28	-0.28	N/A	2011
CCNF	ENST00000397066.4	cyclin F 	1432	1	1	0	0	1	0	1	0	0	hsa-miR-335-5p	-0.27	-0.27	N/A	2011
HNRNPR	ENST00000478691.1	heterogeneous nuclear ribonucleoprotein R 	6629	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.27	-0.27	N/A	
AHSG	ENST00000411641.2	alpha-2-HS-glycoprotein 	144558	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.26	-0.26	N/A	2009, 2011
PSD3	ENST00000327040.8	pleckstrin and Sec7 domain containing 3 	133	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.26	-0.26	N/A	2007, 2009, 2011
RGS7BP	ENST00000334025.2	regulator of G-protein signaling 7 binding protein 	5	1	0	1	0	2	0	1	1	0	hsa-miR-335-5p	-0.26	-0.37	N/A	2011
NETO2	ENST00000562435.1	neuropilin (NRP) and tolloid (TLL)-like 2 	723	1	1	0	0	3	0	0	3	0	hsa-miR-335-5p	-0.25	-0.31	N/A	2009
FITM2	ENST00000396825.3	fat storage-inducing transmembrane protein 2 	215	1	0	1	0	1	0	1	0	0	hsa-miR-335-5p	-0.25	-0.30	N/A	
RASA1	ENST00000456692.2	RAS p21 protein activator (GTPase activating protein) 1 	1700	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.24	-0.24	N/A	2007, 2009, 2011
ISL1	ENST00000230658.7	ISL LIM homeobox 1 	67	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.24	-0.24	N/A	2007, 2009, 2011
RPRM	ENST00000325926.3	reprimo, TP53 dependent G2 arrest mediator candidate 	91	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.24	-0.47	N/A	2007, 2009, 2011
ZNF654	ENST00000309495.5	zinc finger protein 654 	456	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.24	-0.24	N/A	2007, 2009, 2011
RAB11B	ENST00000328024.6	RAB11B, member RAS oncogene family 	920	1	0	1	0	1	0	0	1	0	hsa-miR-335-5p	-0.24	-0.26	N/A	2011
FANCA	ENST00000568369.1	Fanconi anemia, complementation group A 	348	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.23	-0.23	N/A	2011
PRPF38B	ENST00000370025.4	pre-mRNA processing factor 38B 	724	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.23	-0.24	N/A	2007
VAPA	ENST00000400000.2	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa 	2926	2	0	0	2	1	0	0	1	4	hsa-miR-335-5p	-0.23	-0.34	N/A	2007, 2009, 2011
PYGO2	ENST00000368457.2	pygopus homolog 2 (Drosophila) 	35	1	0	1	0	0	0	0	0	2	hsa-miR-335-5p	-0.23	-0.23	N/A	2009, 2011
MAX	ENST00000284165.6	MYC associated factor X 	51	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.23	-0.23	N/A	2011
KAT7	ENST00000259021.4	K(lysine) acetyltransferase 7 	48	1	0	1	0	3	1	0	2	4	hsa-miR-335-5p	-0.22	-0.38	N/A	2007, 2011
SNIP1	ENST00000296215.6	Smad nuclear interacting protein 1 	355	1	1	0	0	2	0	0	2	2	hsa-miR-335-5p	-0.22	-0.28	N/A	2007, 2009, 2011
CRIM1	ENST00000280527.2	cysteine rich transmembrane BMP regulator 1 (chordin-like) 	4842	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.22	-0.22	N/A	2007, 2009, 2011
NCKAP5	ENST00000409261.1	NCK-associated protein 5 	51	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.21	-0.21	N/A	2007, 2009, 2011
PPP6C	ENST00000373547.4	protein phosphatase 6, catalytic subunit 	346	1	0	1	0	1	0	1	0	3	hsa-miR-335-5p	-0.21	-0.36	N/A	2007
TMEM194A	ENST00000379391.3	transmembrane protein 194A 	43	1	0	1	0	3	0	1	2	1	hsa-miR-335-5p	-0.21	-0.36	N/A	2011
NAA25	ENST00000261745.4	N(alpha)-acetyltransferase 25, NatB auxiliary subunit 	919	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.21	-0.28	N/A	2007, 2009, 2011
MAPK10	ENST00000395169.3	mitogen-activated protein kinase 10 	5	1	0	1	0	2	0	1	1	0	hsa-miR-335-5p	-0.21	-0.26	N/A	2011
DAAM1	ENST00000395125.1	dishevelled associated activator of morphogenesis 1 	167	1	1	0	0	0	0	0	0	2	hsa-miR-335-5p	-0.21	-0.30	N/A	2007, 2009, 2011
FBXO28	ENST00000424254.2	F-box protein 28 	461	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.21	-0.23	N/A	2011
NRXN1	ENST00000342183.5	neurexin 1 	5	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.21	-0.21	N/A	2007, 2011
KLHDC10	ENST00000335420.5	kelch domain containing 10 	347	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.20	-0.24	N/A	
IRF1	ENST00000245414.4	interferon regulatory factor 1 	266	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.20	-0.20	N/A	2011
SLC25A44	ENST00000359511.4	solute carrier family 25, member 44 	760	1	0	1	0	0	0	0	0	3	hsa-miR-335-5p	-0.20	-0.20	N/A	2011
WWC1	ENST00000265293.4	WW and C2 domain containing 1 	43	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.20	-0.20	N/A	2011
RP11-204N11.1	ENST00000555187.1	Uncharacterized protein  	5	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.20	-0.20	N/A	
IL17RD	ENST00000296318.7	interleukin 17 receptor D 	108	1	0	1	0	2	0	2	0	2	hsa-miR-335-5p	-0.20	-0.23	N/A	2007, 2009, 2011
PLEKHO1	ENST00000369124.4	pleckstrin homology domain containing, family O member 1 	144	1	0	1	0	1	0	0	1	2	hsa-miR-335-5p	-0.20	-0.24	N/A	
RPS9	ENST00000441429.1	ribosomal protein S9 	54	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.19	-0.19	N/A	
KLHL28	ENST00000396128.4	kelch-like family member 28 	9	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.19	-0.19	N/A	2007, 2009, 2011
STIM2	ENST00000467011.1	stromal interaction molecule 2 	380	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.19	-0.19	N/A	2007, 2009, 2011
ZNF317	ENST00000247956.6	zinc finger protein 317 	433	1	1	0	0	1	0	0	1	0	hsa-miR-335-5p	-0.19	-0.19	N/A	2009
FAM131B	ENST00000443739.2	family with sequence similarity 131, member B 	5	1	0	1	0	1	0	1	0	3	hsa-miR-335-5p	-0.19	-0.19	N/A	2007, 2009, 2011
MAT2B	ENST00000518095.1	methionine adenosyltransferase II, beta 	1901	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.19	-0.19	N/A	2009, 2011
MRFAP1	ENST00000382581.4	Morf4 family associated protein 1 	264	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.19	-0.21	N/A	
KAZALD1	ENST00000370200.5	Kazal-type serine peptidase inhibitor domain 1 	186	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.19	-0.19	N/A	2009, 2011
ARHGAP32	ENST00000524655.1	Rho GTPase activating protein 32 	13	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.19	-0.19	N/A	
ARHGAP18	ENST00000368149.2	Rho GTPase activating protein 18 	176	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.19	-0.25	N/A	2009, 2011
CORO2B	ENST00000261861.5	coronin, actin binding protein, 2B 	751	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.18	-0.18	N/A	
MED9	ENST00000268711.3	mediator complex subunit 9 	256	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.18	-0.18	N/A	
SLC45A3	ENST00000367145.3	solute carrier family 45, member 3 	17	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.18	-0.18	N/A	2007, 2011
HOXB6	ENST00000484302.2	homeobox B6 	12	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.18	-0.18	N/A	2011
CAMKK2	ENST00000538733.1	calcium/calmodulin-dependent protein kinase kinase 2, beta 	1157	1	1	0	0	0	0	0	0	4	hsa-miR-335-5p	-0.18	-0.18	N/A	2009, 2011
NAALADL1	ENST00000339885.2	N-acetylated alpha-linked acidic dipeptidase-like 1 	5	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.18	-0.18	N/A	
PIAS4	ENST00000262971.2	protein inhibitor of activated STAT, 4 	521	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.18	-0.18	N/A	
F13A1	ENST00000264870.3	coagulation factor XIII, A1 polypeptide 	5	1	0	1	0	0	0	0	0	2	hsa-miR-335-5p	-0.18	-0.18	N/A	2007, 2009, 2011
MAOB	ENST00000538942.1	monoamine oxidase B 	32	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.18	-0.18	N/A	
EVI5	ENST00000370331.1	ecotropic viral integration site 5 	172	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.18	-0.18	N/A	2009, 2011
SETD8	ENST00000402868.3	SET domain containing (lysine methyltransferase) 8 	52	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.17	-0.17	N/A	2007, 2009, 2011
ZKSCAN8	ENST00000330236.6	zinc finger with KRAB and SCAN domains 8 	281	1	1	0	0	1	0	1	0	2	hsa-miR-335-5p	-0.17	-0.18	N/A	2009, 2011
ONECUT2	ENST00000491143.2	one cut homeobox 2 	847	1	0	1	0	3	0	1	2	5	hsa-miR-335-5p	-0.17	-0.19	N/A	2007, 2009, 2011
TFDP2	ENST00000499676.2	transcription factor Dp-2 (E2F dimerization partner 2) 	128	1	0	1	0	2	0	0	2	0	hsa-miR-335-5p	-0.17	-0.31	N/A	2011
FBLIM1	ENST00000375771.1	filamin binding LIM protein 1 	581	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.17	-0.17	N/A	
UBE3B	ENST00000434735.2	ubiquitin protein ligase E3B 	916	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.17	-0.18	N/A	2009, 2011
BPIFB2	ENST00000170150.3	BPI fold containing family B, member 2 	5	1	0	0	1	0	0	0	0	1	hsa-miR-335-5p	-0.17	-0.17	N/A	2007, 2011
SGMS2	ENST00000394684.4	sphingomyelin synthase 2 	111	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.17	-0.22	N/A	2011
MED21	ENST00000282892.3	mediator complex subunit 21 	294	1	0	0	1	1	0	0	1	0	hsa-miR-335-5p	-0.17	-0.18	N/A	2007, 2009, 2011
RAD9B	ENST00000409425.1	RAD9 homolog B (S. pombe) 	10	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.17	-0.17	N/A	
OSBPL3	ENST00000313367.2	oxysterol binding protein-like 3 	200	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.16	-0.20	N/A	2009, 2011
NUCKS1	ENST00000367142.4	nuclear casein kinase and cyclin-dependent kinase substrate 1 	1692	1	1	0	0	2	0	1	1	0	hsa-miR-335-5p	-0.16	-0.47	N/A	
PSMB2	ENST00000373237.3	proteasome (prosome, macropain) subunit, beta type, 2 	19765	1	0	0	1	0	0	0	0	1	hsa-miR-335-5p	-0.16	-0.16	N/A	2011
EFNB1	ENST00000204961.4	ephrin-B1 	386	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.15	-0.15	N/A	2009, 2011
MAPKAPK2	ENST00000294981.4	mitogen-activated protein kinase-activated protein kinase 2 	178	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.15	-0.16	N/A	
HIF1AN	ENST00000299163.6	hypoxia inducible factor 1, alpha subunit inhibitor 	1545	1	0	1	0	5	0	2	3	5	hsa-miR-335-5p	-0.15	-0.28	N/A	2009, 2011
FMR1	ENST00000370471.3	fragile X mental retardation 1 	1155	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.15	-0.15	N/A	2007, 2009, 2011
ADCY3	ENST00000260600.5	adenylate cyclase 3 	479	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.15	-0.15	N/A	2007, 2009, 2011
NR4A3	ENST00000330847.1	nuclear receptor subfamily 4, group A, member 3 	244	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.15	-0.27	N/A	2007, 2009, 2011
NIPA2	ENST00000337451.3	non imprinted in Prader-Willi/Angelman syndrome 2 	1288	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.15	-0.29	N/A	
KDELR1	ENST00000330720.2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1 	675	1	0	0	1	1	0	0	1	2	hsa-miR-335-5p	-0.15	-0.22	N/A	2007, 2009, 2011
ZDHHC2	ENST00000262096.8	zinc finger, DHHC-type containing 2 	171	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.15	-0.20	N/A	
SECISBP2L	ENST00000559471.1	SECIS binding protein 2-like 	161	1	0	0	1	2	0	1	1	1	hsa-miR-335-5p	-0.15	-0.15	N/A	2007, 2009, 2011
C17orf85	ENST00000158149.3	chromosome 17 open reading frame 85 	718	1	0	1	0	1	0	1	0	2	hsa-miR-335-5p	-0.15	-0.23	N/A	2009, 2011
PRDM10	ENST00000358825.5	PR domain containing 10 	68	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.14	-0.14	N/A	
KPNA6	ENST00000373625.3	karyopherin alpha 6 (importin alpha 7) 	272	1	1	0	0	2	0	1	1	0	hsa-miR-335-5p	-0.14	-0.15	N/A	2009, 2011
PGM3	ENST00000513973.1	phosphoglucomutase 3 	707	1	1	0	0	1	0	1	0	1	hsa-miR-335-5p	-0.14	-0.41	N/A	2011
ARHGEF2	ENST00000368315.4	Rho/Rac guanine nucleotide exchange factor (GEF) 2 	313	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.14	-0.14	N/A	2011
CNIH4	ENST00000465271.1	cornichon family AMPA receptor auxiliary protein 4 	1348	1	0	1	0	1	0	1	0	2	hsa-miR-335-5p	-0.14	-0.33	N/A	
STRN3	ENST00000355683.5	striatin, calmodulin binding protein 3 	697	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.14	-0.14	N/A	2011
GALNT1	ENST00000269195.5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1) 	2466	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.14	-0.15	N/A	2011
OGFOD1	ENST00000566157.1	2-oxoglutarate and iron-dependent oxygenase domain containing 1 	1030	1	0	0	1	0	0	0	0	0	hsa-miR-335-5p	-0.14	-0.14	N/A	2009, 2011
ZRANB1	ENST00000359653.4	zinc finger, RAN-binding domain containing 1 	724	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.14	-0.32	N/A	2007, 2009, 2011
SH3BP5	ENST00000383791.3	SH3-domain binding protein 5 (BTK-associated) 	4289	1	0	1	0	1	0	0	1	1	hsa-miR-335-5p	-0.13	-0.14	N/A	2007
BCL2L2	ENST00000250405.5	BCL2-like 2 	1380	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.13	-0.13	N/A	2009, 2011
STARD7	ENST00000337288.5	StAR-related lipid transfer (START) domain containing 7 	17	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.13	-0.13	N/A	2007, 2009, 2011
MFAP3	ENST00000436816.1	microfibrillar-associated protein 3 	1139	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.13	-0.14	N/A	2011
TSPAN14	ENST00000429989.3	tetraspanin 14 	239	1	0	1	0	2	1	1	0	3	hsa-miR-335-5p	-0.13	-0.18	N/A	
SUN2	ENST00000405510.1	Sad1 and UNC84 domain containing 2 	501	2	0	2	0	2	0	2	0	0	hsa-miR-335-5p	-0.13	-0.15	N/A	2011
EEF1B2	ENST00000236957.5	eukaryotic translation elongation factor 1 beta 2 	45	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.13	-0.55	N/A	
ESR1	ENST00000440973.1	estrogen receptor 1 	5	1	0	1	0	0	0	0	0	3	hsa-miR-335-5p	-0.13	-0.13	N/A	
GAN	ENST00000568107.2	gigaxonin 	185	1	0	1	0	1	0	0	1	4	hsa-miR-335-5p	-0.13	-0.13	N/A	
RSRC2	ENST00000331738.7	arginine/serine-rich coiled-coil 2 	320	1	0	0	1	1	0	0	1	0	hsa-miR-335-5p	-0.13	-0.14	N/A	2007
METTL8	ENST00000375258.4	methyltransferase like 8 	124	1	0	0	1	3	0	2	1	3	hsa-miR-335-5p	-0.13	-0.26	N/A	2009, 2011
ITPKB	ENST00000272117.3	inositol-trisphosphate 3-kinase B 	5	1	0	1	0	0	0	0	0	2	hsa-miR-335-5p	-0.12	-0.12	N/A	
MEF2D	ENST00000464356.2	myocyte enhancer factor 2D 	759	1	0	1	0	0	0	0	0	4	hsa-miR-335-5p	-0.12	-0.12	N/A	2009
EPOR	ENST00000592375.2	erythropoietin receptor 	96	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.12	-0.12	N/A	
PPAP2B	ENST00000371250.3	phosphatidic acid phosphatase type 2B 	81	1	0	1	0	1	0	0	1	1	hsa-miR-335-5p	-0.12	-0.12	N/A	
EBF4	ENST00000380648.4	early B-cell factor 4 	1194	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.11	-0.11	N/A	2009, 2011
NABP1	ENST00000410026.2	nucleic acid binding protein 1 	938	1	0	0	1	2	0	0	2	3	hsa-miR-335-5p	-0.11	-0.15	N/A	2007
EEF2K	ENST00000263026.5	eukaryotic elongation factor-2 kinase 	115	1	0	0	1	1	0	1	0	1	hsa-miR-335-5p	-0.11	-0.18	N/A	2009, 2011
ROCK1	ENST00000399799.2	Rho-associated, coiled-coil containing protein kinase 1 	7	1	0	1	0	1	0	1	0	3	hsa-miR-335-5p	-0.11	-0.11	N/A	2007, 2011
FZD3	ENST00000240093.3	frizzled family receptor 3 	192	1	0	1	0	0	0	0	0	3	hsa-miR-335-5p	-0.11	-0.13	N/A	2011
CTDSPL2	ENST00000260327.4	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2 	457	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.11	-0.17	N/A	
ZEB2	ENST00000558170.2	zinc finger E-box binding homeobox 2 	33	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.11	-0.13	N/A	2011
ZDHHC8	ENST00000334554.7	zinc finger, DHHC-type containing 8 	5	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.10	-0.10	N/A	2007, 2009, 2011
AIM1	ENST00000369066.3	absent in melanoma 1 	35	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.10	-0.10	N/A	2011
DCLRE1B	ENST00000369563.3	DNA cross-link repair 1B 	687	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.10	-0.12	N/A	
VAV2	ENST00000406606.3	vav 2 guanine nucleotide exchange factor 	477	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.10	-0.10	N/A	2007, 2009, 2011
EIF5A2	ENST00000474096.1	eukaryotic translation initiation factor 5A2 	443	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.10	-0.29	N/A	2009, 2011
SLC37A2	ENST00000298280.5	solute carrier family 37 (glucose-6-phosphate transporter), member 2 	18	1	0	1	0	0	0	0	0	2	hsa-miR-335-5p	-0.10	-0.10	N/A	2011
WAPAL	ENST00000298767.5	wings apart-like homolog (Drosophila) 	185	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.10	-0.12	N/A	2007
TP53INP2	ENST00000374810.3	tumor protein p53 inducible nuclear protein 2 	12	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.10	-0.10	N/A	2009, 2011
MKRN2	ENST00000170447.7	makorin ring finger protein 2 	104	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.10	-0.16	N/A	
GPR37L1	ENST00000367282.5	G protein-coupled receptor 37 like 1 	5	1	0	1	0	1	0	1	0	1	hsa-miR-335-5p	-0.10	-0.10	N/A	
