Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
FAM27E2	ENST00000377529.1	family with sequence similarity 27, member E2 	5	1	1	0	0	0	hsa-miR-126-5p	-0.34	-0.34	N/A
DST	ENST00000312431.6	dystonin 	439	1	0	1	0	3	hsa-miR-126-5p	-0.33	-0.51	N/A
TMEM68	ENST00000523073.1	transmembrane protein 68 	77	2	0	1	1	1	hsa-miR-126-5p	-0.33	-0.37	N/A
ATP5H	ENST00000301587.4	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d 	10	1	0	1	0	0	hsa-miR-126-5p	-0.33	-0.33	N/A
TSC22D4	ENST00000300181.2	TSC22 domain family, member 4 	919	1	1	0	0	0	hsa-miR-126-5p	-0.33	-0.33	N/A
RPL7A	ENST00000323345.6	ribosomal protein L7a 	4327	1	0	0	1	1	hsa-miR-126-5p	-0.33	-0.33	N/A
CHST7	ENST00000276055.3	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7 	406	2	2	0	0	1	hsa-miR-126-5p	-0.32	-0.33	N/A
CD84	ENST00000534968.1	CD84 molecule 	5	8	3	0	5	4	hsa-miR-126-5p	-0.32	-0.44	N/A
ELAVL4	ENST00000371824.1	ELAV like neuron-specific RNA binding protein 4 	5	3	0	1	2	0	hsa-miR-126-5p	-0.32	-0.32	N/A
PGBD1	ENST00000259883.3	piggyBac transposable element derived 1 	452	2	0	1	1	0	hsa-miR-126-5p	-0.32	-0.32	N/A
MDM4	ENST00000391947.2	Mdm4 p53 binding protein homolog (mouse) 	443	5	5	0	0	4	hsa-miR-126-5p	-0.32	-0.36	N/A
CA1	ENST00000523953.1	carbonic anhydrase I 	5	2	0	2	0	2	hsa-miR-126-5p	-0.32	-0.32	N/A
PROCR	ENST00000216968.4	protein C receptor, endothelial 	213	1	1	0	0	0	hsa-miR-126-5p	-0.32	-0.36	N/A
TEX12	ENST00000280358.4	testis expressed 12 	5	1	1	0	0	0	hsa-miR-126-5p	-0.32	-0.32	N/A
OSTN	ENST00000445281.1	osteocrin 	14	3	0	1	2	3	hsa-miR-126-5p	-0.32	-0.32	N/A
ZNF207	ENST00000394670.4	zinc finger protein 207 	839	8	3	0	5	4	hsa-miR-126-5p	-0.31	-0.61	N/A
ITGAV	ENST00000261023.3	integrin, alpha V 	2407	1	0	0	1	2	hsa-miR-126-5p	-0.31	-0.32	N/A
RWDD4	ENST00000326397.5	RWD domain containing 4 	5	2	1	0	1	0	hsa-miR-126-5p	-0.31	-0.31	N/A
SCAF11	ENST00000395453.2	SR-related CTD-associated factor 11 	419	2	1	0	1	1	hsa-miR-126-5p	-0.31	-0.43	N/A
MOG	ENST00000376902.3	myelin oligodendrocyte glycoprotein 	5	1	1	0	0	0	hsa-miR-126-5p	-0.31	-0.31	N/A
AC107021.1	ENST00000422482.1	HCG1786590; PRO2533; Uncharacterized protein  	5	1	0	0	1	4	hsa-miR-126-5p	-0.31	-0.31	N/A
ARL5A	ENST00000295087.8	ADP-ribosylation factor-like 5A 	112	2	1	0	1	5	hsa-miR-126-5p	-0.31	-0.52	N/A
SQRDL	ENST00000260324.7	sulfide quinone reductase-like (yeast) 	301	2	0	0	2	0	hsa-miR-126-5p	-0.31	-0.32	N/A
C1orf54	ENST00000369102.1	chromosome 1 open reading frame 54 	19	1	0	0	1	1	hsa-miR-126-5p	-0.31	-0.40	N/A
UGT2B17	ENST00000317746.2	UDP glucuronosyltransferase 2 family, polypeptide B17 	5	1	1	0	0	1	hsa-miR-126-5p	-0.30	-0.30	N/A
SNAI2	ENST00000020945.1	snail family zinc finger 2 	1233	3	0	1	2	1	hsa-miR-126-5p	-0.30	-0.33	N/A
EBPL	ENST00000378284.2	emopamil binding protein-like 	155	2	1	1	0	0	hsa-miR-126-5p	-0.30	-0.33	N/A
GPR155	ENST00000392552.2	G protein-coupled receptor 155 	11	2	0	0	2	4	hsa-miR-126-5p	-0.30	-0.38	N/A
AL353698.1	ENST00000433279.1	Uncharacterized protein  	5	3	0	3	0	0	hsa-miR-126-5p	-0.30	-0.30	N/A
LYRM5	ENST00000556402.1	LYR motif containing 5 	40	1	0	0	1	3	hsa-miR-126-5p	-0.30	-0.33	N/A
GLYAT	ENST00000344743.3	glycine-N-acyltransferase 	5	3	1	0	2	3	hsa-miR-126-5p	-0.29	-0.32	N/A
AL138847.1	ENST00000593719.1	CDNA FLJ26506 fis, clone KDN07105; Uncharacterized protein  	5	2	1	0	1	0	hsa-miR-126-5p	-0.29	-0.29	N/A
ASAH2B	ENST00000374007.1	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2B 	5	4	2	0	2	5	hsa-miR-126-5p	-0.29	-0.42	N/A
PRPF8	ENST00000304992.6	pre-mRNA processing factor 8 	93	1	1	0	0	0	hsa-miR-126-5p	-0.29	-0.30	N/A
ERGIC2	ENST00000360150.4	ERGIC and golgi 2 	451	1	1	0	0	2	hsa-miR-126-5p	-0.29	-0.29	N/A
MKL1	ENST00000402630.1	megakaryoblastic leukemia (translocation) 1 	13	1	0	0	1	0	hsa-miR-126-5p	-0.29	-0.29	N/A
S100A8	ENST00000368732.1	S100 calcium binding protein A8 	5	1	0	0	1	0	hsa-miR-126-5p	-0.29	-0.29	N/A
RGR	ENST00000359452.4	retinal G protein coupled receptor 	5	3	3	0	0	1	hsa-miR-126-5p	-0.29	-0.29	N/A
FAM96A	ENST00000557835.1	family with sequence similarity 96, member A 	191	5	2	0	3	2	hsa-miR-126-5p	-0.29	-0.30	N/A
CALHM3	ENST00000369783.4	calcium homeostasis modulator 3 	5	1	1	0	0	0	hsa-miR-126-5p	-0.29	-0.29	N/A
PDGFD	ENST00000393158.2	platelet derived growth factor D 	52	4	2	2	0	1	hsa-miR-126-5p	-0.29	-0.31	N/A
FAM168A	ENST00000064778.4	family with sequence similarity 168, member A 	68	7	4	2	1	0	hsa-miR-126-5p	-0.29	-0.52	N/A
TOB1	ENST00000499247.2	transducer of ERBB2, 1 	102	1	1	0	0	0	hsa-miR-126-5p	-0.29	-0.29	N/A
SLC26A7	ENST00000309536.2	solute carrier family 26 (anion exchanger), member 7 	5	1	1	0	0	0	hsa-miR-126-5p	-0.29	-0.29	N/A
FAM221A	ENST00000344962.4	family with sequence similarity 221, member A 	27	2	1	1	0	0	hsa-miR-126-5p	-0.28	-0.28	N/A
C1orf146	ENST00000370375.3	chromosome 1 open reading frame 146 	5	1	0	0	1	1	hsa-miR-126-5p	-0.28	-0.28	N/A
SSBP3	ENST00000417664.2	single stranded DNA binding protein 3 	1474	2	1	0	1	0	hsa-miR-126-5p	-0.28	-0.28	N/A
NUDT7	ENST00000564085.1	nudix (nucleoside diphosphate linked moiety X)-type motif 7 	50	1	1	0	0	0	hsa-miR-126-5p	-0.28	-0.32	N/A
ZIC5	ENST00000267294.4	Zic family member 5 	263	2	0	0	2	0	hsa-miR-126-5p	-0.28	-0.28	N/A
PAX2	ENST00000370296.2	paired box 2 	8	2	1	0	1	0	hsa-miR-126-5p	-0.28	-0.28	N/A
C12orf65	ENST00000253233.1	chromosome 12 open reading frame 65 	283	1	1	0	0	2	hsa-miR-126-5p	-0.28	-0.28	N/A
ARPC3	ENST00000228825.7	actin related protein 2/3 complex, subunit 3, 21kDa 	323	1	1	0	0	0	hsa-miR-126-5p	-0.28	-0.28	N/A
HOXC12	ENST00000243103.3	homeobox C12 	5	3	1	2	0	0	hsa-miR-126-5p	-0.28	-0.28	N/A
SNRPA1	ENST00000254193.6	small nuclear ribonucleoprotein polypeptide A' 	33	1	1	0	0	0	hsa-miR-126-5p	-0.28	-0.28	N/A
IL17F	ENST00000336123.4	interleukin 17F 	5	1	0	1	0	0	hsa-miR-126-5p	-0.28	-0.28	N/A
AICDA	ENST00000229335.6	activation-induced cytidine deaminase 	5	2	0	1	1	1	hsa-miR-126-5p	-0.28	-0.28	N/A
ANKRD66	ENST00000565422.1	ankyrin repeat domain 66 	5	2	1	0	1	2	hsa-miR-126-5p	-0.28	-0.28	N/A
C5orf48	ENST00000357147.3	chromosome 5 open reading frame 48 	5	1	0	0	1	0	hsa-miR-126-5p	-0.28	-0.28	N/A
GABRA4	ENST00000264318.3	gamma-aminobutyric acid (GABA) A receptor, alpha 4 	5	10	6	2	2	9	hsa-miR-126-5p	-0.28	-0.28	N/A
FAM81B	ENST00000283357.5	family with sequence similarity 81, member B 	5	1	0	0	1	0	hsa-miR-126-5p	-0.28	-0.28	N/A
CADM2	ENST00000383699.3	cell adhesion molecule 2 	5	4	0	0	4	7	hsa-miR-126-5p	-0.28	-0.28	N/A
COMMD6	ENST00000406936.3	COMM domain containing 6 	3151	1	0	0	1	0	hsa-miR-126-5p	-0.28	-0.28	N/A
ANGPT1	ENST00000520734.1	angiopoietin 1 	21	2	0	0	2	1	hsa-miR-126-5p	-0.28	-0.42	N/A
ARL13B	ENST00000535334.1	ADP-ribosylation factor-like 13B 	23	4	1	2	1	4	hsa-miR-126-5p	-0.28	-0.28	N/A
DLK1	ENST00000341267.4	delta-like 1 homolog (Drosophila) 	1865	2	1	1	0	0	hsa-miR-126-5p	-0.28	-0.39	N/A
GHRL	ENST00000335542.8	ghrelin/obestatin prepropeptide 	5	1	0	0	1	0	hsa-miR-126-5p	-0.28	-0.28	N/A
SLC9B1	ENST00000296422.7	solute carrier family 9, subfamily B (NHA1, cation proton antiporter 1), member 1 	5	1	0	0	1	0	hsa-miR-126-5p	-0.28	-0.28	N/A
KCNH2	ENST00000330883.4	potassium voltage-gated channel, subfamily H (eag-related), member 2 	165	2	0	1	1	2	hsa-miR-126-5p	-0.27	-0.27	N/A
TRMT10A	ENST00000394877.3	tRNA methyltransferase 10 homolog A (S. cerevisiae) 	89	2	1	1	0	0	hsa-miR-126-5p	-0.27	-0.27	N/A
METTL25	ENST00000248306.3	methyltransferase like 25 	84	2	1	0	1	1	hsa-miR-126-5p	-0.27	-0.71	N/A
TRIM61	ENST00000329314.5	tripartite motif containing 61 	5	1	1	0	0	0	hsa-miR-126-5p	-0.27	-0.27	N/A
CALHM1	ENST00000329905.5	calcium homeostasis modulator 1 	5	2	2	0	0	0	hsa-miR-126-5p	-0.27	-0.27	N/A
SHISA3	ENST00000319234.4	shisa family member 3 	52	2	1	0	1	1	hsa-miR-126-5p	-0.27	-0.27	N/A
GGACT	ENST00000376250.2	gamma-glutamylamine cyclotransferase 	164	1	1	0	0	3	hsa-miR-126-5p	-0.27	-0.29	N/A
GRIK1	ENST00000327783.4	glutamate receptor, ionotropic, kainate 1 	5	1	1	0	0	0	hsa-miR-126-5p	-0.27	-0.27	N/A
PI15	ENST00000260113.2	peptidase inhibitor 15 	12	6	3	1	2	4	hsa-miR-126-5p	-0.27	-0.27	N/A
AC011755.1	ENST00000596384.1	HCG2006742; Protein LOC100996685  	5	2	0	0	2	0	hsa-miR-126-5p	-0.27	-0.27	N/A
AKR1B15	ENST00000457545.2	aldo-keto reductase family 1, member B15 	5	1	0	0	1	1	hsa-miR-126-5p	-0.27	-0.27	N/A
KLHL41	ENST00000284669.1	kelch-like family member 41 	18	1	1	0	0	0	hsa-miR-126-5p	-0.27	-0.27	N/A
C8orf12	ENST00000533578.1	chromosome 8 open reading frame 12 	5	1	0	0	1	0	hsa-miR-126-5p	-0.27	-0.27	N/A
EFCAB7	ENST00000371088.4	EF-hand calcium binding domain 7 	113	1	0	0	1	1	hsa-miR-126-5p	-0.27	-0.27	N/A
ZNF684	ENST00000372699.3	zinc finger protein 684 	219	1	0	0	1	2	hsa-miR-126-5p	-0.27	-0.27	N/A
TMPRSS12	ENST00000551456.1	transmembrane (C-terminal) protease, serine 12 	5	2	1	0	1	2	hsa-miR-126-5p	-0.27	-0.27	N/A
HBG2	ENST00000380252.1	hemoglobin, gamma G 	5	1	0	0	1	0	hsa-miR-126-5p	-0.27	-0.27	N/A
