Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
BTLA	ENST00000334529.5	B and T lymphocyte associated 	5	2	1	1	0	0	0	0	0	2	hsa-miR-424-5p	-0.75	-0.75	0.96	2009, 2011
KRTAP4-4	ENST00000390661.3	keratin associated protein 4-4 	5	1	0	1	0	0	0	0	0	2	hsa-miR-195-5p	-0.74	-0.74	0.64	2005, 2007, 2009, 2011
SPRYD3	ENST00000301463.4	SPRY domain containing 3 	353	3	0	3	0	1	0	0	1	1	hsa-miR-15b-5p	-0.73	-0.76	0.94	2003, 2007, 2009, 2011
ZNF622	ENST00000308683.2	zinc finger protein 622 	145	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.73	-0.73	0.88	2005, 2007, 2009, 2011
UBE2V1	ENST00000371657.5	ubiquitin-conjugating enzyme E2 variant 1 	1621	2	0	2	0	2	0	2	0	0	hsa-miR-195-5p	-0.72	-0.72	0.87	2011
RBM6	ENST00000266022.4	RNA binding motif protein 6 	122	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.72	-0.72	0.81	2005, 2007, 2009, 2011
OMG	ENST00000247271.4	oligodendrocyte myelin glycoprotein 	5	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.72	-0.72	0.58	2005, 2007, 2009, 2011
VAPB	ENST00000395802.3	VAMP (vesicle-associated membrane protein)-associated protein B and C 	391	2	1	1	0	1	0	1	0	4	hsa-miR-15b-5p	-0.71	-0.78	0.91	2009, 2011
FGF7	ENST00000267843.4	fibroblast growth factor 7 	5	2	0	1	1	1	0	1	0	0	hsa-miR-195-5p	-0.71	-0.71	0.97	2005, 2007, 2009, 2011
TMEM100	ENST00000424486.2	transmembrane protein 100 	86	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.71	-0.71	0.70	2009, 2011
EMC4	ENST00000267750.4	ER membrane protein complex subunit 4 	3844	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.71	-0.71	0.49	2009, 2011
CDC42SE2	ENST00000505065.1	CDC42 small effector 2 	1057	1	1	0	0	1	0	1	0	0	hsa-miR-16-5p	-0.70	-0.74	0.85	2009, 2011
RAB9B	ENST00000243298.2	RAB9B, member RAS oncogene family 	21	2	1	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.69	-0.69	0.93	2011
RASGEF1B	ENST00000509081.1	RasGEF domain family, member 1B 	20	3	1	2	0	0	0	0	0	1	hsa-miR-15a-5p	-0.69	-0.69	0.97	2005, 2007, 2009, 2011
C2orf42	ENST00000264434.2	chromosome 2 open reading frame 42 	13	2	0	2	0	0	0	0	0	0	hsa-miR-16-5p	-0.68	-0.68	0.77	2009, 2011
PURA	ENST00000331327.3	purine-rich element binding protein A 	367	2	0	1	1	1	0	0	1	0	hsa-miR-424-5p	-0.67	-0.87	0.96	2007, 2009, 2011
SIRT4	ENST00000202967.4	sirtuin 4 	99	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.67	-0.67	< 0.1	2009, 2011
KDSR	ENST00000406396.3	3-ketodihydrosphingosine reductase 	322	1	1	0	0	2	0	1	1	1	hsa-miR-497-5p	-0.64	-0.68	0.92	2005, 2007, 2009, 2011
PTPN3	ENST00000412145.1	protein tyrosine phosphatase, non-receptor type 3 	374	1	1	0	0	2	0	1	1	0	hsa-miR-424-5p	-0.64	-0.81	0.92	2005, 2007, 2009, 2011
CDC37L1	ENST00000381854.3	cell division cycle 37-like 1 	280	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.64	-0.64	0.90	2005, 2007, 2009, 2011
GNAI3	ENST00000369851.4	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3 	2439	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.63	-0.65	0.89	2005, 2007, 2009, 2011
FBXO21	ENST00000427718.2	F-box protein 21 	1035	2	1	1	0	2	0	2	0	0	hsa-miR-195-5p	-0.63	-0.66	0.95	2007, 2009, 2011
AKT3	ENST00000366539.1	v-akt murine thymoma viral oncogene homolog 3 	168	2	2	0	0	0	0	0	0	1	hsa-miR-424-5p	-0.63	-0.67	0.98	2005, 2007, 2009, 2011
C1QL3	ENST00000298943.3	complement component 1, q subcomponent-like 3 	77	1	0	1	0	1	0	1	0	1	hsa-miR-16-5p	-0.63	-0.63	0.76	2005, 2007, 2009, 2011
CNOT6L	ENST00000504123.1	CCR4-NOT transcription complex, subunit 6-like 	23	2	1	1	0	1	0	1	0	3	hsa-miR-15a-5p	-0.62	-0.73	0.94	2007, 2009, 2011
C1orf21	ENST00000235307.6	chromosome 1 open reading frame 21 	935	1	1	0	0	1	0	0	1	0	hsa-miR-424-5p	-0.62	-0.67	0.90	2005, 2007, 2009, 2011
ZNF697	ENST00000421812.2	zinc finger protein 697 	43	1	0	0	1	2	0	0	2	0	hsa-miR-497-5p	-0.62	-0.62	0.86	2007, 2011
PAPPA	ENST00000328252.3	pregnancy-associated plasma protein A, pappalysin 1 	350	4	1	2	1	0	0	0	0	1	hsa-miR-497-5p	-0.61	-0.67	> 0.99	2005, 2007, 2009, 2011
ZBTB16	ENST00000335953.4	zinc finger and BTB domain containing 16 	73	2	0	2	0	2	0	2	0	3	hsa-miR-15a-5p	-0.61	-0.67	0.94	
KCNJ2	ENST00000243457.3	potassium inwardly-rectifying channel, subfamily J, member 2 	5	2	1	0	1	1	0	1	0	0	hsa-miR-424-5p	-0.61	-0.61	0.98	2011
SMPD1	ENST00000299397.3	sphingomyelin phosphodiesterase 1, acid lysosomal 	1334	1	0	1	0	1	0	1	0	1	hsa-miR-15a-5p	-0.61	-0.61	0.72	2009, 2011
CCND1	ENST00000227507.2	cyclin D1 	4687	2	1	0	1	0	0	0	0	0	hsa-miR-424-5p	-0.61	-0.65	0.96	2005, 2007, 2009, 2011
AC068987.1	ENST00000599343.1	HCG1997999; cDNA FLJ33996 fis, clone DFNES2008881  	44	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.61	-0.61	0.87	
BTG2	ENST00000290551.4	BTG family, member 2 	758	2	0	2	0	0	0	0	0	2	hsa-miR-16-5p	-0.60	-0.61	0.79	2005, 2007, 2009, 2011
TMEM55A	ENST00000285419.3	transmembrane protein 55A 	151	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.60	-0.60	0.90	2007, 2009, 2011
RSPO3	ENST00000356698.4	R-spondin 3 	118	1	1	0	0	0	0	0	0	2	hsa-miR-424-5p	-0.59	-0.60	0.90	2007, 2009, 2011
AXIN2	ENST00000307078.5	axin 2 	86	2	0	2	0	0	0	0	0	0	hsa-miR-195-5p	-0.59	-0.59	0.85	2011
SETD3	ENST00000331768.5	SET domain containing 3 	58	1	0	1	0	2	0	1	1	1	hsa-miR-16-5p	-0.59	-0.73	0.79	2007, 2009, 2011
RNF144B	ENST00000259939.3	ring finger protein 144B 	17	1	1	0	0	1	0	0	1	2	hsa-miR-424-5p	-0.59	-0.59	0.86	2005, 2007, 2009, 2011
GPR63	ENST00000229955.3	G protein-coupled receptor 63 	5	2	1	1	0	1	0	1	0	0	hsa-miR-195-5p	-0.59	-0.59	0.99	2005, 2007, 2009, 2011
SMAD7	ENST00000262158.2	SMAD family member 7 	142	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.58	-0.58	0.90	2005, 2007, 2009, 2011
FAM133B	ENST00000438306.1	family with sequence similarity 133, member B 	32	1	0	1	0	1	0	1	0	0	hsa-miR-15b-5p	-0.58	-0.58	0.82	2005, 2007, 2009, 2011
N4BP1	ENST00000262384.3	NEDD4 binding protein 1 	105	1	1	0	0	1	0	1	0	2	hsa-miR-16-5p	-0.58	-0.58	0.90	2005, 2007, 2009, 2011
CACUL1	ENST00000369151.3	CDK2-associated, cullin domain 1 	213	1	1	0	0	1	0	0	1	1	hsa-miR-497-5p	-0.58	-0.58	0.90	2005, 2007, 2009, 2011
CCND2	ENST00000261254.3	cyclin D2 	66	3	1	0	2	0	0	0	0	1	hsa-miR-497-5p	-0.58	-0.69	> 0.99	2005, 2007, 2009, 2011
TFCP2L1	ENST00000263707.5	transcription factor CP2-like 1 	36	1	1	0	0	2	0	1	1	1	hsa-miR-424-5p	-0.57	-0.59	0.89	2009, 2011
KCNN4	ENST00000262888.3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4 	142	1	1	0	0	0	0	0	0	1	hsa-miR-424-5p	-0.57	-0.57	0.70	2005, 2007, 2009, 2011
IPPK	ENST00000287996.3	inositol 1,3,4,5,6-pentakisphosphate 2-kinase 	211	2	0	1	1	1	0	1	0	3	hsa-miR-497-5p	-0.57	-0.65	0.96	2007, 2009, 2011
WIPI2	ENST00000288828.4	WD repeat domain, phosphoinositide interacting 2 	1038	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.57	-0.57	0.90	2007, 2009, 2011
PDK4	ENST00000005178.5	pyruvate dehydrogenase kinase, isozyme 4 	5549	2	0	2	0	0	0	0	0	0	hsa-miR-15a-5p	-0.57	-0.57	0.72	2005, 2007, 2009, 2011
AK4	ENST00000545314.1	adenylate kinase 4 	116	1	1	0	0	2	0	1	1	1	hsa-miR-424-5p	-0.56	-0.56	0.94	2007, 2009, 2011
TGIF2	ENST00000373874.2	TGFB-induced factor homeobox 2 	192	3	0	3	0	0	0	0	0	0	hsa-miR-15b-5p	-0.56	-0.59	0.98	2005, 2007, 2009, 2011
MKNK1	ENST00000341183.5	MAP kinase interacting serine/threonine kinase 1 	150	1	1	0	0	1	0	1	0	0	hsa-miR-15b-5p	-0.56	-0.56	0.73	2009, 2011
PPAP2A	ENST00000264775.5	phosphatidic acid phosphatase type 2A 	649	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.56	-0.56	0.80	2007, 2009, 2011
TLK1	ENST00000431350.2	tousled-like kinase 1 	200	2	1	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.56	-0.73	0.98	2005, 2007, 2009, 2011
PCDHA11	ENST00000398640.2	protocadherin alpha 11 	86	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.56	-0.56	0.87	2009, 2011
PTPN4	ENST00000263708.2	protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte) 	215	2	2	0	0	3	0	2	1	1	hsa-miR-497-5p	-0.56	-0.76	0.95	
ATG9A	ENST00000396761.2	autophagy related 9A 	50	1	0	1	0	1	0	1	0	1	hsa-miR-15a-5p	-0.56	-0.56	0.63	2009, 2011
KIF23	ENST00000559279.1	kinesin family member 23 	140	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.55	-0.63	0.87	2005, 2007, 2009, 2011
UNC80	ENST00000439458.1	unc-80 homolog (C. elegans) 	5	1	0	1	0	3	1	1	1	0	hsa-miR-16-5p	-0.55	-0.55	0.54	2011
DGCR2	ENST00000545799.1	DiGeorge syndrome critical region gene 2 	1754	1	0	1	0	5	0	3	2	1	hsa-miR-497-5p	-0.55	-0.56	0.13	
HMGA2	ENST00000403681.2	high mobility group AT-hook 2 	8021	1	1	0	0	0	0	0	0	1	hsa-miR-16-5p	-0.55	-0.55	0.85	2005, 2007, 2009, 2011
USP25	ENST00000285681.2	ubiquitin specific peptidase 25 	2012	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.55	-0.55	0.88	2005, 2007, 2009, 2011
PCDHAC2	ENST00000289269.5	protocadherin alpha subfamily C, 2 	86	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.55	-0.55	0.87	2005, 2007, 2009, 2011
MOB4	ENST00000233892.4	MOB family member 4, phocein 	123	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.55	-0.58	0.90	2005, 2007, 2009, 2011
VEGFA	ENST00000417285.2	vascular endothelial growth factor A 	907	1	1	0	0	0	0	0	0	0	hsa-miR-16-5p	-0.55	-0.55	0.82	2007, 2009, 2011
SEPT2	ENST00000391971.2	septin 2 	1445	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.55	-0.57	0.61	2005, 2007, 2009, 2011
FAM73A	ENST00000370791.3	family with sequence similarity 73, member A 	837	1	1	0	0	1	0	0	1	0	hsa-miR-424-5p	-0.55	-0.55	0.88	2009, 2011
HTR4	ENST00000377888.3	5-hydroxytryptamine (serotonin) receptor 4, G protein-coupled 	5	1	1	0	0	1	0	1	0	0	hsa-miR-497-5p	-0.54	-0.54	0.42	2005, 2007, 2009, 2011
ARL3	ENST00000260746.5	ADP-ribosylation factor-like 3 	1387	1	0	1	0	2	0	1	1	6	hsa-miR-424-5p	-0.54	-0.75	0.83	2009, 2011
ELL	ENST00000262809.4	elongation factor RNA polymerase II 	250	3	0	3	0	1	0	1	0	1	hsa-miR-15a-5p	-0.54	-0.60	0.95	2005, 2007, 2009, 2011
SYS1	ENST00000243918.5	SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae) 	384	1	1	0	0	0	0	0	0	3	hsa-miR-424-5p	-0.54	-0.66	0.37	2009, 2011
CDK5R1	ENST00000313401.3	cyclin-dependent kinase 5, regulatory subunit 1 (p35) 	335	1	1	0	0	1	0	1	0	2	hsa-miR-15a-5p	-0.54	-0.54	0.90	2005, 2007, 2009, 2011
MAFK	ENST00000343242.4	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog K 	322	1	0	1	0	1	0	1	0	1	hsa-miR-16-5p	-0.54	-0.54	0.80	2009, 2011
KIF1B	ENST00000377086.1	kinesin family member 1B 	234	3	0	3	0	2	0	2	0	2	hsa-miR-15a-5p	-0.54	-0.54	0.98	2011
SLC35G1	ENST00000371408.3	solute carrier family 35, member G1 	227	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.54	-0.54	0.77	2007, 2009, 2011
GSKIP	ENST00000555181.1	GSK3B interacting protein 	1581	1	0	1	0	2	0	1	1	0	hsa-miR-15b-5p	-0.53	-0.58	0.62	2007
PEX13	ENST00000295030.5	peroxisomal biogenesis factor 13 	484	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.53	-0.53	0.90	2005, 2007, 2009, 2011
SHOC2	ENST00000369452.4	soc-2 suppressor of clear homolog (C. elegans) 	437	2	0	2	0	0	0	0	0	0	hsa-miR-15a-5p	-0.53	-0.53	0.94	2011
RNF138	ENST00000261593.3	ring finger protein 138, E3 ubiquitin protein ligase 	376	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.53	-0.53	0.87	2005, 2007, 2009, 2011
CAPZA2	ENST00000361183.3	capping protein (actin filament) muscle Z-line, alpha 2 	2065	1	1	0	0	0	0	0	0	1	hsa-miR-424-5p	-0.52	-0.55	0.33	2005, 2007, 2009, 2011
RUNX1T1	ENST00000523629.1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related) 	9	2	0	1	1	0	0	0	0	1	hsa-miR-195-5p	-0.52	-0.52	0.95	2005, 2007, 2009, 2011
CBX4	ENST00000269397.4	chromobox homolog 4 	3211	1	1	0	0	1	0	0	1	0	hsa-miR-497-5p	-0.52	-0.65	0.84	2005, 2007, 2009, 2011
SRPR	ENST00000332118.6	signal recognition particle receptor (docking protein) 	2980	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.52	-0.52	0.83	2007, 2009, 2011
RPL14	ENST00000416518.1	ribosomal protein L14 	8294	1	1	0	0	2	0	2	0	0	hsa-miR-195-5p	-0.52	-0.52	ORF	
KLHL18	ENST00000232766.5	kelch-like family member 18 	74	3	0	3	0	1	0	1	0	0	hsa-miR-15b-5p	-0.52	-0.58	0.97	2005, 2007, 2009, 2011
PLAG1	ENST00000316981.3	pleiomorphic adenoma gene 1 	58	2	2	0	0	0	0	0	0	0	hsa-miR-16-5p	-0.52	-0.77	0.98	2005, 2007, 2009, 2011
AMER1	ENST00000330258.3	APC membrane recruitment protein 1 	11	2	0	2	0	1	1	0	0	3	hsa-miR-15a-5p	-0.52	-0.65	0.49	2007, 2009, 2011
ZMAT3	ENST00000311417.2	zinc finger, matrin-type 3 	459	2	1	1	0	0	0	0	0	2	hsa-miR-195-5p	-0.51	-0.64	0.95	2011
SLC7A2	ENST00000494857.1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 	1233	1	0	1	0	2	0	1	1	0	hsa-miR-195-5p	-0.51	-0.53	0.61	2007, 2011
TEX19	ENST00000333437.4	testis expressed 19 	14	1	0	1	0	2	0	1	1	0	hsa-miR-15b-5p	-0.51	-0.51	0.58	2009, 2011
RASSF8	ENST00000541490.1	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8 	1290	2	0	2	0	0	0	0	0	0	hsa-miR-16-5p	-0.51	-0.52	0.90	2011
ANXA11	ENST00000372231.3	annexin A11 	2285	1	1	0	0	1	0	1	0	3	hsa-miR-497-5p	-0.51	-0.55	0.45	
SH3GL2	ENST00000380607.4	SH3-domain GRB2-like 2 	125	2	0	2	0	0	0	0	0	0	hsa-miR-16-5p	-0.51	-0.52	0.84	2005, 2007, 2009, 2011
BTAF1	ENST00000265990.6	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa 	917	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.51	-0.51	0.90	2009, 2011
CRKL	ENST00000354336.3	v-crk avian sarcoma virus CT10 oncogene homolog-like 	2142	1	0	1	0	1	0	1	0	1	hsa-miR-195-5p	-0.51	-0.51	0.86	2005, 2007, 2009, 2011
SYNRG	ENST00000339208.6	synergin, gamma 	106	2	0	2	0	1	0	0	1	1	hsa-miR-16-5p	-0.51	-0.69	0.89	2011
CLDN12	ENST00000287916.4	claudin 12 	267	1	1	0	0	0	0	0	0	1	hsa-miR-424-5p	-0.51	-0.51	0.88	2005, 2007, 2009, 2011
PTPRR	ENST00000440835.2	protein tyrosine phosphatase, receptor type, R 	5	1	1	0	0	0	0	0	0	1	hsa-miR-497-5p	-0.51	-0.51	0.75	2009, 2011
IKBKB	ENST00000379708.3	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta 	806	1	1	0	0	0	0	0	0	0	hsa-miR-195-5p	-0.50	-0.51	0.83	2009, 2011
CHEK1	ENST00000534070.1	checkpoint kinase 1 	338	1	1	0	0	1	1	0	0	0	hsa-miR-16-5p	-0.50	-0.72	0.90	2005, 2007, 2009, 2011
TMEM189-UBE2V1	ENST00000341698.2	TMEM189-UBE2V1 readthrough 	1621	2	0	2	0	2	0	2	0	0	hsa-miR-195-5p	-0.50	-0.50	0.87	2005, 2007, 2009, 2005, 2007, 2009
HSPE1-MOB4	ENST00000604458.1	HSPE1-MOB4 readthrough 	123	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.50	-0.56	0.90	2011
RPS6KA3	ENST00000379565.3	ribosomal protein S6 kinase, 90kDa, polypeptide 3 	769	2	0	2	0	0	0	0	0	1	hsa-miR-15a-5p	-0.50	-0.55	0.95	2007, 2009, 2011
TMEM189	ENST00000557021.1	transmembrane protein 189 	1621	2	0	2	0	2	0	2	0	0	hsa-miR-195-5p	-0.50	-0.50	0.87	2011
MYBL1	ENST00000522677.3	v-myb avian myeloblastosis viral oncogene homolog-like 1 	53	2	2	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.50	-0.50	0.98	2007, 2009, 2011
SALL4	ENST00000217086.4	sal-like 4 (Drosophila) 	155	2	0	2	0	0	0	0	0	0	hsa-miR-16-5p	-0.50	-0.51	0.91	2011
ARMC12	ENST00000373866.3	armadillo repeat containing 12 	5	1	0	1	0	0	0	0	0	0	hsa-miR-195-5p	-0.50	-0.50	0.50	
FGF2	ENST00000264498.3	fibroblast growth factor 2 (basic) 	123	3	3	0	0	2	0	1	1	3	hsa-miR-195-5p	-0.49	-1.61	> 0.99	2005, 2007, 2011
FASN	ENST00000306749.2	fatty acid synthase 	37	1	0	1	0	2	0	1	1	2	hsa-miR-16-5p	-0.49	-0.53	0.80	2009, 2011
RAB30	ENST00000533486.1	RAB30, member RAS oncogene family 	274	1	0	1	0	3	0	2	1	1	hsa-miR-195-5p	-0.49	-0.69	0.92	
HSPA4L	ENST00000296464.4	heat shock 70kDa protein 4-like 	348	2	1	1	0	1	0	1	0	0	hsa-miR-195-5p	-0.49	-0.60	0.98	2007, 2009, 2011
PLEKHA5	ENST00000429027.2	pleckstrin homology domain containing, family A member 5 	175	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.49	-0.49	0.74	2009, 2011
PLA2G15	ENST00000566188.1	phospholipase A2, group XV 	2670	1	0	1	0	0	0	0	0	3	hsa-miR-15b-5p	-0.49	-0.49	0.48	2007, 2011
MEOX2	ENST00000262041.5	mesenchyme homeobox 2 	5	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.49	-0.49	0.81	2009, 2011
CA8	ENST00000317995.4	carbonic anhydrase VIII 	197	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.49	-0.49	0.20	
UBE2Q1	ENST00000292211.4	ubiquitin-conjugating enzyme E2Q family member 1 	3046	2	0	2	0	1	1	0	0	1	hsa-miR-15b-5p	-0.49	-0.82	0.82	2007, 2009, 2011
UBE4B	ENST00000343090.6	ubiquitination factor E4B 	350	1	1	0	0	1	0	1	0	0	hsa-miR-424-5p	-0.49	-0.59	0.86	2005, 2007, 2009, 2011
FAM179B	ENST00000382233.2	family with sequence similarity 179, member B 	12	1	1	0	0	3	0	2	1	1	hsa-miR-195-5p	-0.49	-0.49	0.41	
